"cluster"	"sample"	"max"	"min"	"median"	"mean"	"q25"	"q75"	"n"
1	12	0.004	0	0	0	0	0	6241
1	23	0.006	0	0	0	0	0	5887
1	34	0.008	0	0	0	0	0	5394
1	45	0.008	0	0	0.001	0	0	4913
1	55	0.009	0	0	0.001	0	0.002	4433
1	66	0.01	0	0	0.001	0	0.002	4025
1	77	0.011	0	0	0.001	0	0.003	3718
1	87	0.011	0	0	0.002	0	0.003	3410
1	98	0.011	0	0.002	0.002	0	0.003	3121
1	109	0.012	0	0.002	0.002	0	0.004	2921
1	164	0.013	0	0.003	0.003	0	0.004	2096
1	218	0.015	0	0.003	0.004	0.002	0.006	1541
1	272	0.017	0	0.004	0.004	0.002	0.007	1146
1	326	0.018	0	0.004	0.005	0.002	0.007	871
1	435	0.02	0	0.005	0.006	0.003	0.009	441
1	542	0.018	0	0.005	0.007	0.003	0.009	100
2	12	0.027	0	0.003	0.004	0	0.006	2224
2	23	0.038	0	0.005	0.008	0.003	0.011	928
2	34	0.052	0	0.008	0.011	0.004	0.016	447
2	45	0.062	0	0.011	0.014	0.005	0.021	206
2	55	0.072	0	0.012	0.017	0.007	0.025	99
2	66	0.089	0	0.014	0.02	0.007	0.029	49
2	77	0.098	0	0.016	0.022	0.008	0.033	25
2	87	0.107	0	0.018	0.025	0.01	0.036	17
2	98	0.114	0	0.019	0.027	0.01	0.039	12
2	109	0.125	0	0.021	0.029	0.011	0.042	6
2	164	0.159	0	0.027	0.038	0.015	0.055	4
2	218	0.164	0	0.033	0.045	0.017	0.065	3
2	272	0.182	0	0.037	0.051	0.02	0.073	4
2	326	0.189	0.002	0.04	0.055	0.022	0.079	0
2	435	0.206	0.002	0.046	0.062	0.025	0.089	0
2	542	0.225	0.002	0.05	0.067	0.027	0.096	0
3	12	0.225	0.005	0.066	0.079	0.03	0.121	0
3	23	0.368	0.008	0.119	0.139	0.056	0.212	0
3	34	0.471	0.01	0.165	0.187	0.078	0.284	0
3	45	0.548	0.016	0.204	0.228	0.098	0.345	0
3	55	0.614	0.019	0.238	0.26	0.116	0.393	0
3	66	0.65	0.021	0.268	0.289	0.133	0.435	0
3	77	0.682	0.024	0.295	0.315	0.149	0.47	0
3	87	0.71	0.024	0.32	0.337	0.162	0.501	0
3	98	0.74	0.027	0.341	0.357	0.175	0.53	0
3	109	0.75	0.027	0.361	0.374	0.188	0.552	0
3	164	0.813	0.027	0.435	0.436	0.235	0.633	0
3	218	0.838	0.028	0.485	0.475	0.268	0.679	0
3	272	0.856	0.031	0.519	0.502	0.295	0.71	0
3	326	0.863	0.035	0.542	0.52	0.314	0.728	0
3	435	0.872	0.036	0.574	0.545	0.342	0.753	0
3	542	0.878	0.036	0.594	0.56	0.362	0.767	0
4	12	0.997	0.114	0.416	0.46	0.288	0.596	0
4	23	0.996	0.174	0.609	0.62	0.458	0.776	0
4	34	0.996	0.205	0.712	0.704	0.566	0.845	0
4	45	0.998	0.234	0.775	0.756	0.642	0.878	0
4	55	0.997	0.252	0.81	0.788	0.692	0.892	0
4	66	0.996	0.267	0.834	0.811	0.73	0.901	0
4	77	0.997	0.277	0.853	0.83	0.761	0.909	0
4	87	0.997	0.292	0.866	0.844	0.785	0.914	0
4	98	0.997	0.298	0.876	0.856	0.803	0.919	0
4	109	0.997	0.308	0.882	0.863	0.816	0.921	0
4	164	0.998	0.332	0.899	0.886	0.854	0.927	0
4	218	0.998	0.342	0.905	0.895	0.87	0.929	0
4	272	0.998	0.358	0.909	0.901	0.879	0.93	0
4	326	0.998	0.37	0.908	0.902	0.882	0.929	0
4	435	0.999	0.377	0.908	0.904	0.885	0.927	0
4	542	0.999	0.385	0.908	0.904	0.886	0.926	0
